Material Novo;Material antigo;Texto breve material;Centro;Depósito;Lote;Quantidade;Valor Unitário;Valor Total;Unidade
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCT;MR01;O.PURCHASE;6;R$ 462,35;R$ 2.774,07;Guarulhos
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCU;MR01;O.PURCHASE;1;R$ 453,85;R$ 453,85;Jaú
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCV;MR01;O.PURCHASE;4;R$ 480,71;R$ 1.922,84;Jundiai (SALTO)
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCX;MR01;O.PURCHASE;5;R$ 473,18;R$ 2.365,90;Mauá
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCY;MR01;O.PURCHASE;8;R$ 476,86;R$ 3.814,91;Mogi Mirim
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRD0;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Presidente Prudente
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRD1;MR01;O.PURCHASE;10;R$ 464,76;R$ 4.647,63;Ribeirão Preto
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRD2;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;São José dos Campos
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRD5;MR01;O.PURCHASE;2;R$ 332,06;R$ 664,11;Taubaté
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRD7;MR01;O.PURCHASE;6;R$ 479,82;R$ 2.878,90;Litoral - Praia Grande
50080847;0;"PAPEL HIGIEN;FL DUPLA/INTERFOLHADO;BR";BRD7;MR01;O.PURCHASE;80,000;R$ 58,14;R$ 4.651,43;Litoral - Praia Grande
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCN;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Araraquara
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCO;MR01;O.IMPORTED;4;R$ 41,55;R$ 166,18;Barueri
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCO;MR01;O.PURCHASE;28;R$ 42,13;R$ 1.179,53;Barueri
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCQ;MR01;O.PURCHASE;21;R$ 39,86;R$ 837,14;Campinas
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCR;MR01;O.IMPORTED;12;R$ 37,45;R$ 449,39;Diadema
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCS;MR01;O.IMPORTED;4;R$ 37,12;R$ 148,47;Embu (SUL)
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCT;MR01;O.PURCHASE;8;R$ 38,57;R$ 308,52;Guarulhos
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCV;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Jundiai (SALTO)
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCV;MR01;O.PURCHASE;12;R$ 42,20;R$ 506,37;Jundiai (SALTO)
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCX;MR01;O.PURCHASE;10;R$ 34,90;R$ 349,02;Mauá
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCY;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Mogi Mirim
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRCY;MR01;O.PURCHASE;14;R$ 38,02;R$ 532,33;Mogi Mirim
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD0;MR01;O.IMPORTED;13;R$ 44,02;R$ 572,32;Presidente Prudente
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD1;MR01;O.IMPORTED;17;R$ 39,53;R$ 672,09;Ribeirão Preto
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD2;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;São José dos Campos
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD3;MR01;O.IMPORTED;15;R$ 33,70;R$ 505,48;Suzano
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD3;MR01;O.PURCHASE;5;R$ 38,05;R$ 190,27;Suzano
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD5;MR01;O.IMPORTED;1;R$ 34,60;R$ 34,60;Taubaté
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD7;MR01;O.IMPORTED;0;R$ 0,00;R$ 0,00;Litoral - Praia Grande
50080946;20020212;"VISEIRA P/CAPAC;MAT PC;VISEIRACRISTAL2MM";BRD7;MR01;O.PURCHASE;19;R$ 40,60;R$ 771,40;Litoral - Praia Grande
50080980;20020396;"FIXADOR VISEIRA P/CAPACETE;PC";BRCM;MR01;O.PURCHASE;80;R$ 13,32;R$ 1.065,86;Araçatuba
